"Cidade","UF","Pais","Email","Tel","DTNASC","CPF","GUID","Latitude","Longitude","TIPOSANGUINEO","ID","Nome","Sexo"
"Diadema","SP","BR","DiegoCostaMelo@superrito.com","(11) 3871-3424","2/20/1982","505.501.825-94","39acb1c3-729a-4e40-909f-f26d6d06387d","-23.682804","-46.556663","O+","1","Diego C Melo","2"
"Andradina","SP","BR","PedroFernandesCardoso@superrito.com","(18) 8855-4418","9/22/1967","612.899.858-55","c23af248-6c56-44af-984e-cd296a007397","-20.896246","-51.352285","B+","2","Pedro F Cardoso","2"
"Porto Alegre","RS","BR","NicoleAzevedoDias@fleckens.hu","(51) 4145-9773","2/8/1952","825.746.766-96","e4bb2e58-b4a8-4c8a-90f6-532df957b344","-30.058385","-51.130737","A+","3","Nicole A Dias","1"
"Mogi-Mirim","SP","BR","DaniloCunhaBarros@gustr.com","(16) 5856-8610","2/20/1969","613.774.782-46","9e72fd55-ea57-4366-bfb7-b6ac10c22be0","-22.382765","-46.906003","B+","4","Danilo C Barros","2"
"Campo Grande","MS","BR","GabriellyPereiraCastro@rhyta.com","(67) 6474-8472","7/18/1964","883.609.024-96","e3a0abaf-aa1f-4a1b-90fa-283d03a54786","-21.015938","-54.192567","A+","5","Gabrielly P Castro","1"
"Curitiba","PR","BR","LuisPereiraDias@gustr.com","(41) 3240-8448","12/11/1963","620.801.198-18","ca60ea6a-6e89-4852-b81e-2f1c5b66239b","-25.567675","-49.208325","A+","6","Luis P Dias","2"
"São Carlos","SP","BR","BrenoCastroBarbosa@fleckens.hu","(16) 3307-6960","8/13/1987","334.940.736-60","2df89955-1c53-453d-90db-ffdc9210156b","-21.811833","-47.805538","A+","7","Breno C Barbosa","2"
"Salvador","BA","BR","CarlosAlvesFernandes@einrot.com","(71) 3106-6150","6/9/1950","781.459.573-89","0bb0e582-bb6c-4d01-a72d-209d765eb0bd","-12.827379","-38.578234","O+","8","Carlos A Fernandes","2"
"Passo Fundo","RS","BR","KauaPintoRocha@dayrep.com","(54) 6994-4013","10/23/1934","536.394.177-55","e879d2d7-3ff6-4c98-ad28-594ccffb415f","-28.273404","-52.381367","B+","9","Kauã P Rocha","2"
"Gama","DF","BR","CamilaMartinsAlmeida@fleckens.hu","(61) 6587-8739","10/27/1944","144.613.713-95","5dc6b5aa-9269-4f23-bf83-3e5e804ce289","-15.971168","-48.064731","O+","10","Camila M Almeida","1"
"Amparo","SP","BR","KauanSouzaMelo@einrot.com","(19) 5818-5341","5/16/1957","894.550.241-60","1c21cef7-1660-46d8-99a5-5a97dee582f3","-22.696061","-46.872099","O-","11","Kauan S Melo","2"
"Campina Grande","PB","BR","LuanaCostaCardoso@einrot.com","(83) 4369-7196","7/22/1948","969.013.253-98","741a09c8-1ae5-432a-95fc-eb58b16bb996","-7.208499","-36.037612","B+","12","Luana C Cardoso","1"
"Queimados","RJ","BR","EstevanFernandesSantos@cuvox.de","(21) 4546-8554","11/27/1935","284.295.768-78","e00bacf9-84a2-4b04-964c-d449547a5e01","-22.8197","-43.561381","O+","13","Estevan F Santos","2"
"Campo Grande","MS","BR","LeticiaAlvesCardoso@dayrep.com","(67) 8692-6994","5/1/1957","764.460.610-64","f2ac59df-848e-4c8b-8992-8b14e5f74dff","-21.075986","-54.134388","O-","14","Letícia A Cardoso","1"
"São Paulo","SP","BR","SamuelAlmeidaCastro@cuvox.de","(11) 3328-5664","5/7/1995","123.617.448-80","68cb4935-2f82-4498-8d1a-4cb96673cda3","-23.598555","-46.556114","O+","15","Samuel A Castro","2"
"Santa Cruz do Sul","RS","BR","MarisaSousaLima@rhyta.com","(51) 3202-6675","2/4/1944","328.378.502-33","3ee0448c-0e02-4aeb-b91a-48a02f9db9f2","-29.602333","-52.33892","O+","16","Marisa S Lima","1"
"Itumbiara","GO","BR","DaniloFerreiraGoncalves@armyspy.com","(64) 3985-3114","4/4/1968","191.889.451-54","7cde6d90-a5ed-43d0-a1d6-7c2d40fa4ae6","-18.345711","-49.491016","A+","17","Danilo F Goncalves","2"
"Guarulhos","SP","BR","ThaisFerreiraPereira@cuvox.de","(11) 8899-6697","10/6/1977","474.268.950-09","a82ef2fe-5e42-44e7-a256-275a303d59e3","-23.334111","-46.399507","O+","18","Thaís F Pereira","1"
"Fortaleza","CE","BR","MariaMeloAlves@fleckens.hu","(85) 5389-6037","8/4/1996","612.421.158-03","93313e60-f022-4988-80f8-40a635d183c9","-3.743749","-38.589677","B+","19","Maria M Alves","1"
